Week 2 - Preemption Experement
[HIGH] running at tick = 0
[LOW] running at tick = 9
[LOW] running at tick = 17
[LOW] running at tick = 21
[LOW] running at tick = 26
[LOW] running at tick = 31
[LOW] running at tick = 36
[LOW] running at tick = 41
[LOW] running at tick = 46
[LOW] running at tick = 51
[LOW] running at tick = 69
[LOW] running at tick = 99
[LOW] running at tick = 129
[LOW] running at tick = 160
[LOW] running at tick = 190
[LOW] running at tick = 220
[LOW] running at tick = 251
[LOW] running at tick = 281
[LOW] running at tick = 304
[LOW] running at tick = 309
[LOW] running at tick = 314
[LOW] running at tick = 319
[LOW] running at tick = 323
[LOW] running at tick = 328
[LOW] running at tick = 333
[LOW] running at tick = 338
[LOW] running at tick = 343
[LOW] running at tick = 348
[LOW] running at tick = 352
[LOW] running at tick = 358
[LOW] running at tick = 362
[LOW] running at tick = 367
[LOW] running at tick = 372
[LOW] running at tick = 377
[LOW] running at tick = 382
[LOW] running at tick = 394
[LOW] running at tick = 424
[LOW] running at tick = 454
[LOW] running at tick = 485
[LOW] running at tick = 515
[LOW] running at tick = 545
[LOW] running at tick = 575
[LOW] running at tick = 606
[LOW] running at tick = 637
[LOW] running at tick = 667
[LOW] running at tick = 698
[LOW] running at tick = 728
[LOW] running at tick = 759
[LOW] running at tick = 789
[LOW] running at tick = 820
[LOW] running at tick = 850
[LOW] running at tick = 880
[LOW] running at tick = 911
[LOW] running at tick = 941
[LOW] running at tick = 971
[LOW] running at tick = 1001
[LOW] running at tick = 1031
[LOW] running at tick = 1061
[LOW] running at tick = 1092
[LOW] running at tick = 1123
[LOW] running at tick = 1153
[LOW] running at tick = 1184
[LOW] running at tick = 1214
[LOW] running at tick = 1244
[LOW] running at tick = 1274
[LOW] running at tick = 1304
[LOW] running at tick = 1335
[LOW] running at tick = 1365
[LOW] running at tick = 1396
[LOW] running at tick = 1426
[LOW] running at tick = 1456
[LOW] running at tick = 1486
[LOW] running at tick = 1516
[LOW] running at tick = 1546
[LOW] running at tick = 1576
[LOW] running at tick = 1606
[LOW] running at tick = 1637
[LOW] running at tick = 1667
[LOW] running at tick = 1697
[LOW] running at tick = 1727
[LOW] running at tick = 1757
[LOW] running at tick = 1787
[LOW] running at tick = 1818
[LOW] running at tick = 1848
[LOW] running at tick = 1878
[LOW] running at tick = 1908
[LOW] running at tick = 1939
[LOW] running at tick = 1969
[LOW] running at tick = 1999
[LOW] running at tick = 2029
[LOW] running at tick = 2059
[LOW] running at tick = 2089
[LOW] running at tick = 2119
[LOW] running at tick = 2149
[LOW] running at tick = 2179
[LOW] running at tick = 2209
[LOW] running at tick = 2239
[LOW] running at tick = 2270
[LOW] running at tick = 2300
[LOW] running at tick = 2330
[LOW] running at tick = 2360
[LOW] running at tick = 2390
[LOW] running at tick = 2420
[LOW] running at tick = 2450
[LOW] running at tick = 2481
[LOW] running at tick = 2511
[LOW] running at tick = 2541
[LOW] running at tick = 2571
[LOW] running at tick = 2602
[LOW] running at tick = 2632
[LOW] running at tick = 2662
[LOW] running at tick = 2692
[LOW] running at tick = 2722
[LOW] running at tick = 2752
[LOW] running at tick = 2783
[LOW] running at tick = 2813
[LOW] running at tick = 2843
[LOW] running at tick = 2873
[LOW] running at tick = 2904
[LOW] running at tick = 2934
[LOW] running at tick = 2964
[LOW] running at tick = 2994
[LOW] running at tick = 3024
[LOW] running at tick = 3054
[LOW] running at tick = 3085
[LOW] running at tick = 3115
[LOW] running at tick = 3145
[LOW] running at tick = 3175
[LOW] running at tick = 3205
[LOW] running at tick = 3236
[LOW] running at tick = 3266
[LOW] running at tick = 3296
[LOW] running at tick = 3327
[LOW] running at tick = 3357
[LOW] running at tick = 3388
[LOW] running at tick = 3418
[LOW] running at tick = 3448
[LOW] running at tick = 3479
[LOW] running at tick = 3511
[LOW] running at tick = 3542
[LOW] running at tick = 3572
[LOW] running at tick = 3603
[LOW] running at tick = 3633
[LOW] running at tick = 3663
[LOW] running at tick = 3694
[LOW] running at tick = 3724
[LOW] running at tick = 3754
[LOW] running at tick = 3784
[LOW] running at tick = 3814
[LOW] running at tick = 3845
[LOW] running at tick = 3875
[LOW] running at tick = 3906
[LOW] running at tick = 3936
[LOW] running at tick = 3966
[LOW] running at tick = 3997
[LOW] running at tick = 4027
[LOW] running at tick = 4058
[LOW] running at tick = 4088
[LOW] running at tick = 4119
[LOW] running at tick = 4149
[LOW] running at tick = 4179
[LOW] running at tick = 4209
[LOW] running at tick = 4239
[LOW] running at tick = 4270
[LOW] running at tick = 4300
[LOW] running at tick = 4330
[LOW] running at tick = 4360
[LOW] running at tick = 4391
[LOW] running at tick = 4421
[LOW] running at tick = 4451
[LOW] running at tick = 4481
[LOW] running at tick = 4511
[LOW] running at tick = 4542
[LOW] running at tick = 4572
[LOW] running at tick = 4602
[LOW] running at tick = 4633
[LOW] running at tick = 4663
[LOW] running at tick = 4693
[LOW] running at tick = 4724
[LOW] running at tick = 4754
[LOW] running at tick = 4784
[LOW] running at tick = 4815
[LOW] running at tick = 4845
[LOW] running at tick = 4875
