Week 2 - Preemption Experement
[HIGH] running at tick = 0
[LOW] running at tick = 6
[LOW] running at tick = 11
[LOW] running at tick = 31
[LOW] running at tick = 61
[LOW] running at tick = 92
[LOW] running at tick = 123
[LOW] running at tick = 153
[LOW] running at tick = 185
[LOW] running at tick = 190
[LOW] running at tick = 195
[LOW] running at tick = 200
[LOW] running at tick = 205
[LOW] running at tick = 210
[LOW] running at tick = 215
[LOW] running at tick = 220
[LOW] running at tick = 232
[LOW] running at tick = 264
[LOW] running at tick = 294
[LOW] running at tick = 324
[LOW] running at tick = 355
[LOW] running at tick = 385
[LOW] running at tick = 415
[LOW] running at tick = 445
[LOW] running at tick = 475
[LOW] running at tick = 506
[LOW] running at tick = 536
[LOW] running at tick = 557
[LOW] running at tick = 562
[LOW] running at tick = 566
[LOW] running at tick = 571
[LOW] running at tick = 576
[LOW] running at tick = 580
[LOW] running at tick = 585
[LOW] running at tick = 590
[LOW] running at tick = 595
[LOW] running at tick = 599
[LOW] running at tick = 605
[LOW] running at tick = 611
[LOW] running at tick = 632
[LOW] running at tick = 662
[LOW] running at tick = 692
[LOW] running at tick = 722
[LOW] running at tick = 753
[LOW] running at tick = 783
[LOW] running at tick = 813
[LOW] running at tick = 843
[LOW] running at tick = 874
[LOW] running at tick = 904
[LOW] running at tick = 934
[LOW] running at tick = 965
[LOW] running at tick = 995
[HIGH] running at tick = 1000
[LOW] running at tick = 1004
[LOW] running at tick = 1009
[LOW] running at tick = 1014
[LOW] running at tick = 1019
[LOW] running at tick = 1023
[LOW] running at tick = 1028
[LOW] running at tick = 1033
[LOW] running at tick = 1063
[LOW] running at tick = 1093
[LOW] running at tick = 1116
[LOW] running at tick = 1120
[LOW] running at tick = 1125
[LOW] running at tick = 1130
[LOW] running at tick = 1136
[LOW] running at tick = 1145
[LOW] running at tick = 1176
[LOW] running at tick = 1206
[LOW] running at tick = 1237
[LOW] running at tick = 1268
[LOW] running at tick = 1298
[LOW] running at tick = 1329
[LOW] running at tick = 1359
[LOW] running at tick = 1390
[LOW] running at tick = 1420
[LOW] running at tick = 1450
[LOW] running at tick = 1481
[LOW] running at tick = 1511
[LOW] running at tick = 1542
[LOW] running at tick = 1572
[LOW] running at tick = 1603
[LOW] running at tick = 1633
[LOW] running at tick = 1639
[LOW] running at tick = 1644
[LOW] running at tick = 1659
[LOW] running at tick = 1664
[LOW] running at tick = 1669
[LOW] running at tick = 1680
[LOW] running at tick = 1711
[LOW] running at tick = 1741
[LOW] running at tick = 1771
[LOW] running at tick = 1802
[LOW] running at tick = 1832
[LOW] running at tick = 1862
[LOW] running at tick = 1892
[LOW] running at tick = 1923
[LOW] running at tick = 1953
[LOW] running at tick = 1981
[LOW] running at tick = 1986
[LOW] running at tick = 1991
[LOW] running at tick = 1996
[HIGH] running at tick = 2000
[LOW] running at tick = 2000
[LOW] running at tick = 2005
[LOW] running at tick = 2011
[LOW] running at tick = 2016
[LOW] running at tick = 2021
[LOW] running at tick = 2026
[LOW] running at tick = 2031
[LOW] running at tick = 2036
[LOW] running at tick = 2041
[LOW] running at tick = 2046
[LOW] running at tick = 2051
[LOW] running at tick = 2056
[LOW] running at tick = 2061
[LOW] running at tick = 2066
[LOW] running at tick = 2071
[LOW] running at tick = 2102
[LOW] running at tick = 2133
[LOW] running at tick = 2164
[LOW] running at tick = 2195
[LOW] running at tick = 2221
[LOW] running at tick = 2226
[LOW] running at tick = 2231
[LOW] running at tick = 2235
[LOW] running at tick = 2240
[LOW] running at tick = 2245
[LOW] running at tick = 2250
[LOW] running at tick = 2255
[LOW] running at tick = 2260
[LOW] running at tick = 2265
[LOW] running at tick = 2270
[LOW] running at tick = 2276
[LOW] running at tick = 2283
[LOW] running at tick = 2289
[LOW] running at tick = 2295
[LOW] running at tick = 2325
[LOW] running at tick = 2357
[LOW] running at tick = 2387
[LOW] running at tick = 2418
[LOW] running at tick = 2448
[LOW] running at tick = 2479
[LOW] running at tick = 2510
[LOW] running at tick = 2541
[LOW] running at tick = 2573
[LOW] running at tick = 2603
[LOW] running at tick = 2634
[LOW] running at tick = 2666
[LOW] running at tick = 2697
[LOW] running at tick = 2729
[LOW] running at tick = 2760
[LOW] running at tick = 2791
[LOW] running at tick = 2823
[LOW] running at tick = 2854
[LOW] running at tick = 2886
[LOW] running at tick = 2917
[LOW] running at tick = 2948
[LOW] running at tick = 2978
[HIGH] running at tick = 3000
