Week 2 - Time Slicing Experement
[Task B] yield at tick = 1
[Task A] yield at tick = 2
[Task B] yield at tick = 2
[Task A] yield at tick = 3
[Task B] yield at tick = 3
[Task A] yield at tick = 4
[Task B] yield at tick = 4
[Task A] yield at tick = 5
[Task B] yield at tick = 5
[Task A] yield at tick = 6
[Task B] yield at tick = 6
[Task A] yield at tick = 7
[Task B] yield at tick = 7
[Task A] yield at tick = 8
[Task B] yield at tick = 8
[Task A] yield at tick = 9
[Task B] yield at tick = 9
[Task A] yield at tick = 10
[Task B] yield at tick = 10
[Task A] yield at tick = 11
[Task B] yield at tick = 12
[Task A] yield at tick = 12
[Task B] yield at tick = 13
[Task A] yield at tick = 13
[Task B] yield at tick = 14
[Task A] yield at tick = 14
[Task B] yield at tick = 15
[Task A] yield at tick = 15
[Task B] yield at tick = 16
[Task A] yield at tick = 16
[Task B] yield at tick = 17
[Task A] yield at tick = 17
[Task B] yield at tick = 18
[Task A] yield at tick = 19
[Task B] yield at tick = 19
[Task A] yield at tick = 20
[Task B] yield at tick = 20
[Task A] yield at tick = 21
[Task B] yield at tick = 21
[Task A] yield at tick = 22
[Task B] yield at tick = 22
[Task A] yield at tick = 23
[Task B] yield at tick = 23
[Task A] yield at tick = 24
[Task B] yield at tick = 24
[Task A] yield at tick = 25
[Task B] yield at tick = 25
[Task A] yield at tick = 26
[Task B] yield at tick = 26
[Task A] yield at tick = 27
[Task B] yield at tick = 27
[Task A] yield at tick = 28
[Task B] yield at tick = 28
[Task A] yield at tick = 29
[Task B] yield at tick = 29
[Task A] yield at tick = 30
[Task B] yield at tick = 31
[Task A] yield at tick = 31
[Task B] yield at tick = 32
[Task A] yield at tick = 32
[Task B] yield at tick = 33
[Task A] yield at tick = 33
[Task B] yield at tick = 34
[Task A] yield at tick = 34
[Task B] yield at tick = 35
[Task A] yield at tick = 35
[Task B] yield at tick = 36
[Task A] yield at tick = 37
[Task B] yield at tick = 37
[Task A] yield at tick = 38
[Task B] yield at tick = 38
[Task A] yield at tick = 39
[Task B] yield at tick = 39
[Task A] yield at tick = 40
[Task B] yield at tick = 40
[Task A] yield at tick = 41
[Task B] yield at tick = 41
[Task A] yield at tick = 42
[Task B] yield at tick = 43
[Task A] yield at tick = 43
[Task B] yield at tick = 44
[Task A] yield at tick = 44
[Task B] yield at tick = 45
[Task A] yield at tick = 45
[Task B] yield at tick = 46
[Task A] yield at tick = 47
[Task B] yield at tick = 47
[Task A] yield at tick = 48
[Task B] yield at tick = 48
[Task A] yield at tick = 49
[Task B] yield at tick = 49
[Task A] yield at tick = 50
[Task B] yield at tick = 50
[Task A] yield at tick = 51
[Task B] yield at tick = 52
[Task A] yield at tick = 52
[Task B] yield at tick = 53
[Task A] yield at tick = 53
[Task B] yield at tick = 54
[Task A] yield at tick = 54
[Task B] yield at tick = 55
[Task A] yield at tick = 56
[Task B] yield at tick = 56
[Task A] yield at tick = 57
[Task B] yield at tick = 57
[Task A] yield at tick = 58
[Task B] yield at tick = 59
[Task A] yield at tick = 59
[Task B] yield at tick = 60
[Task A] yield at tick = 60
[Task B] yield at tick = 61
[Task A] yield at tick = 62
[Task B] yield at tick = 62
[Task A] yield at tick = 63
[Task B] yield at tick = 63
[Task A] yield at tick = 64
[Task B] yield at tick = 65
[Task A] yield at tick = 65
[Task B] yield at tick = 66
[Task A] yield at tick = 67
[Task B] yield at tick = 67
[Task A] yield at tick = 68
[Task B] yield at tick = 69
[Task A] yield at tick = 69
[Task B] yield at tick = 70
[Task A] yield at tick = 71
[Task B] yield at tick = 71
[Task A] yield at tick = 72
[Task B] yield at tick = 72
[Task A] yield at tick = 73
[Task B] yield at tick = 74
[Task A] yield at tick = 74
[Task B] yield at tick = 75
[Task A] yield at tick = 76
[Task B] yield at tick = 76
[Task A] yield at tick = 77
[Task B] yield at tick = 78
[Task A] yield at tick = 78
[Task B] yield at tick = 79
[Task A] yield at tick = 79
[Task B] yield at tick = 80
[Task A] yield at tick = 81
[Task B] yield at tick = 81
[Task A] yield at tick = 82
[Task B] yield at tick = 83
[Task A] yield at tick = 83
[Task B] yield at tick = 84
[Task A] yield at tick = 85
[Task B] yield at tick = 85
[Task A] yield at tick = 86
[Task B] yield at tick = 86
[Task A] yield at tick = 87
[Task B] yield at tick = 88
[Task A] yield at tick = 88
[Task B] yield at tick = 89
[Task A] yield at tick = 90
[Task B] yield at tick = 91
[Task A] yield at tick = 92
[Task B] yield at tick = 93
[Task A] yield at tick = 94
[Task B] yield at tick = 95
[Task A] yield at tick = 95
[Task B] yield at tick = 96
[Task A] yield at tick = 97
[Task B] yield at tick = 98
[Task A] yield at tick = 99
[Task B] yield at tick = 99
[Task A] yield at tick = 100
[Task B] yield at tick = 101
[Task A] yield at tick = 101
[Task B] yield at tick = 102
[Task A] yield at tick = 103
[Task B] yield at tick = 103
[Task A] yield at tick = 104
[Task B] yield at tick = 105
[Task A] yield at tick = 105
[Task B] yield at tick = 106
[Task A] yield at tick = 107
[Task B] yield at tick = 107
[Task A] yield at tick = 108
[Task B] yield at tick = 108
[Task A] yield at tick = 108
[Task B] yield at tick = 110
[Task A] yield at tick = 110
[Task B] yield at tick = 112
[Task A] yield at tick = 112
[Task B] yield at tick = 113
[Task A] yield at tick = 114
[Task B] yield at tick = 115
[Task A] yield at tick = 116
[Task B] yield at tick = 117
[Task A] yield at tick = 117
[Task B] yield at tick = 118
[Task A] yield at tick = 119
[Task B] yield at tick = 119
[Task A] yield at tick = 120
[Task B] yield at tick = 121
[Task A] yield at tick = 121
[Task B] yield at tick = 122
[Task A] yield at tick = 123
[Task B] yield at tick = 123
[Task A] yield at tick = 124
[Task B] yield at tick = 125
[Task A] yield at tick = 126
[Task B] yield at tick = 126
[Task A] yield at tick = 127
[Task B] yield at tick = 128
[Task A] yield at tick = 129
[Task B] yield at tick = 130
[Task A] yield at tick = 131
[Task B] yield at tick = 132
[Task A] yield at tick = 133
[Task B] yield at tick = 133
[Task A] yield at tick = 134
[Task B] yield at tick = 135
[Task A] yield at tick = 136
[Task B] yield at tick = 137
[Task A] yield at tick = 138
[Task B] yield at tick = 139
[Task A] yield at tick = 140
[Task B] yield at tick = 141
[Task A] yield at tick = 141
[Task B] yield at tick = 142
[Task A] yield at tick = 142
[Task B] yield at tick = 143
[Task A] yield at tick = 144
[Task B] yield at tick = 144
[Task A] yield at tick = 145
[Task B] yield at tick = 146
[Task A] yield at tick = 146
[Task B] yield at tick = 147
[Task A] yield at tick = 147
[Task B] yield at tick = 148
[Task A] yield at tick = 149
[Task B] yield at tick = 149
[Task A] yield at tick = 150
[Task B] yield at tick = 151
[Task A] yield at tick = 151
[Task B] yield at tick = 152
[Task A] yield at tick = 152
[Task B] yield at tick = 153
[Task A] yield at tick = 154
[Task B] yield at tick = 154
[Task A] yield at tick = 155
[Task B] yield at tick = 155
[Task A] yield at tick = 156
[Task B] yield at tick = 157
[Task A] yield at tick = 157
[Task B] yield at tick = 158
[Task A] yield at tick = 159
[Task B] yield at tick = 160
[Task A] yield at tick = 160
[Task B] yield at tick = 161
[Task A] yield at tick = 161
[Task B] yield at tick = 161
[Task A] yield at tick = 163
[Task B] yield at tick = 163
[Task A] yield at tick = 164
[Task B] yield at tick = 165
[Task A] yield at tick = 165
[Task B] yield at tick = 166
[Task A] yield at tick = 167
[Task B] yield at tick = 167
[Task A] yield at tick = 168
[Task B] yield at tick = 168
[Task A] yield at tick = 169
[Task B] yield at tick = 170
[Task A] yield at tick = 170
[Task B] yield at tick = 171
[Task A] yield at tick = 172
[Task B] yield at tick = 172
[Task A] yield at tick = 173
[Task B] yield at tick = 173
[Task A] yield at tick = 174
[Task B] yield at tick = 175
[Task A] yield at tick = 175
[Task B] yield at tick = 176
[Task A] yield at tick = 177
[Task B] yield at tick = 177
[Task A] yield at tick = 178
[Task B] yield at tick = 179
[Task A] yield at tick = 179
[Task B] yield at tick = 180
[Task A] yield at tick = 180
[Task B] yield at tick = 181
[Task A] yield at tick = 182
[Task B] yield at tick = 182
[Task A] yield at tick = 183
[Task B] yield at tick = 184
[Task A] yield at tick = 184
[Task B] yield at tick = 185
[Task A] yield at tick = 186
[Task B] yield at tick = 186
[Task A] yield at tick = 187
[Task B] yield at tick = 188
[Task A] yield at tick = 188
[Task B] yield at tick = 189
[Task A] yield at tick = 190
[Task B] yield at tick = 190
[Task A] yield at tick = 191
[Task B] yield at tick = 192
[Task A] yield at tick = 192
[Task B] yield at tick = 193
[Task A] yield at tick = 194
[Task B] yield at tick = 194
[Task A] yield at tick = 195
[Task B] yield at tick = 195
[Task A] yield at tick = 196
[Task B] yield at tick = 197
[Task A] yield at tick = 197
