Week 2 - Time Slicing Experement
[Task B] yield at tick = 2
[Task A] yield at tick = 3
[Task B] yield at tick = 3
[Task A] yield at tick = 4
[Task B] yield at tick = 5
[Task A] yield at tick = 7
[Task B] yield at tick = 7
[Task A] yield at tick = 8
[Task B] yield at tick = 9
[Task A] yield at tick = 10
[Task B] yield at tick = 11
[Task A] yield at tick = 12
[Task B] yield at tick = 13
[Task A] yield at tick = 14
[Task B] yield at tick = 15
[Task A] yield at tick = 16
[Task B] yield at tick = 17
[Task A] yield at tick = 18
[Task B] yield at tick = 19
[Task A] yield at tick = 21
[Task B] yield at tick = 21
[Task A] yield at tick = 22
[Task B] yield at tick = 23
[Task A] yield at tick = 24
[Task B] yield at tick = 25
[Task A] yield at tick = 26
[Task B] yield at tick = 26
[Task A] yield at tick = 28
[Task B] yield at tick = 29
[Task A] yield at tick = 30
[Task B] yield at tick = 31
[Task A] yield at tick = 32
[Task B] yield at tick = 33
[Task A] yield at tick = 35
[Task B] yield at tick = 35
[Task A] yield at tick = 37
[Task B] yield at tick = 38
[Task A] yield at tick = 39
[Task B] yield at tick = 40
[Task A] yield at tick = 41
[Task B] yield at tick = 42
[Task A] yield at tick = 45
[Task B] yield at tick = 46
[Task A] yield at tick = 47
[Task B] yield at tick = 49
[Task A] yield at tick = 50
[Task B] yield at tick = 51
[Task A] yield at tick = 53
[Task B] yield at tick = 54
[Task A] yield at tick = 55
[Task B] yield at tick = 57
[Task A] yield at tick = 58
[Task B] yield at tick = 60
[Task A] yield at tick = 61
[Task B] yield at tick = 63
[Task A] yield at tick = 63
[Task B] yield at tick = 65
[Task A] yield at tick = 65
[Task B] yield at tick = 67
[Task A] yield at tick = 67
[Task B] yield at tick = 69
[Task A] yield at tick = 70
[Task B] yield at tick = 71
[Task A] yield at tick = 72
[Task B] yield at tick = 73
[Task A] yield at tick = 74
[Task B] yield at tick = 75
[Task A] yield at tick = 76
[Task B] yield at tick = 78
[Task A] yield at tick = 79
[Task B] yield at tick = 80
[Task A] yield at tick = 81
[Task B] yield at tick = 83
[Task A] yield at tick = 84
[Task B] yield at tick = 85
[Task A] yield at tick = 86
[Task B] yield at tick = 87
[Task A] yield at tick = 89
[Task B] yield at tick = 90
[Task A] yield at tick = 91
[Task B] yield at tick = 92
[Task A] yield at tick = 94
[Task B] yield at tick = 95
[Task A] yield at tick = 97
[Task B] yield at tick = 98
[Task A] yield at tick = 99
[Task B] yield at tick = 101
[Task A] yield at tick = 102
[Task B] yield at tick = 103
[Task A] yield at tick = 105
[Task B] yield at tick = 106
[Task A] yield at tick = 108
[Task B] yield at tick = 109
[Task A] yield at tick = 111
[Task B] yield at tick = 112
[Task A] yield at tick = 113
[Task B] yield at tick = 114
[Task A] yield at tick = 116
[Task B] yield at tick = 117
[Task A] yield at tick = 119
[Task B] yield at tick = 121
[Task A] yield at tick = 122
[Task B] yield at tick = 123
[Task A] yield at tick = 124
[Task B] yield at tick = 125
[Task A] yield at tick = 126
[Task B] yield at tick = 126
[Task A] yield at tick = 127
[Task B] yield at tick = 128
[Task A] yield at tick = 129
[Task B] yield at tick = 130
[Task A] yield at tick = 131
[Task B] yield at tick = 131
[Task A] yield at tick = 132
[Task B] yield at tick = 133
[Task A] yield at tick = 134
[Task B] yield at tick = 134
[Task A] yield at tick = 135
[Task B] yield at tick = 137
[Task A] yield at tick = 138
[Task B] yield at tick = 139
[Task A] yield at tick = 140
[Task B] yield at tick = 141
[Task A] yield at tick = 143
[Task B] yield at tick = 144
[Task A] yield at tick = 145
[Task B] yield at tick = 146
[Task A] yield at tick = 147
[Task B] yield at tick = 149
[Task A] yield at tick = 150
[Task B] yield at tick = 151
[Task A] yield at tick = 152
[Task B] yield at tick = 153
[Task A] yield at tick = 155
[Task B] yield at tick = 156
[Task A] yield at tick = 157
[Task B] yield at tick = 157
[Task A] yield at tick = 158
[Task B] yield at tick = 159
[Task A] yield at tick = 160
[Task B] yield at tick = 160
[Task A] yield at tick = 161
[Task B] yield at tick = 162
[Task A] yield at tick = 163
[Task B] yield at tick = 163
[Task A] yield at tick = 164
[Task B] yield at tick = 164
[Task A] yield at tick = 165
[Task B] yield at tick = 165
[Task A] yield at tick = 166
[Task B] yield at tick = 166
[Task A] yield at tick = 167
[Task B] yield at tick = 167
[Task A] yield at tick = 168
[Task B] yield at tick = 168
[Task A] yield at tick = 169
[Task B] yield at tick = 169
[Task A] yield at tick = 170
[Task B] yield at tick = 170
[Task A] yield at tick = 171
[Task B] yield at tick = 171
[Task A] yield at tick = 172
[Task B] yield at tick = 172
[Task A] yield at tick = 173
[Task B] yield at tick = 173
[Task A] yield at tick = 173
[Task B] yield at tick = 174
[Task A] yield at tick = 174
[Task B] yield at tick = 175
[Task A] yield at tick = 175
[Task B] yield at tick = 176
[Task A] yield at tick = 176
[Task B] yield at tick = 177
[Task A] yield at tick = 177
[Task B] yield at tick = 178
[Task A] yield at tick = 178
[Task B] yield at tick = 179
[Task A] yield at tick = 179
[Task B] yield at tick = 180
[Task A] yield at tick = 180
[Task B] yield at tick = 181
[Task A] yield at tick = 181
[Task B] yield at tick = 182
[Task A] yield at tick = 183
[Task B] yield at tick = 183
[Task A] yield at tick = 184
[Task B] yield at tick = 184
[Task A] yield at tick = 185
[Task B] yield at tick = 185
[Task A] yield at tick = 185
[Task B] yield at tick = 186
[Task A] yield at tick = 186
[Task B] yield at tick = 187
[Task A] yield at tick = 187
[Task B] yield at tick = 188
[Task A] yield at tick = 188
[Task B] yield at tick = 189
[Task A] yield at tick = 189
[Task B] yield at tick = 190
[Task A] yield at tick = 190
[Task B] yield at tick = 191
[Task A] yield at tick = 191
[Task B] yield at tick = 192
[Task A] yield at tick = 192
[Task B] yield at tick = 193
[Task A] yield at tick = 193
[Task B] yield at tick = 194
[Task A] yield at tick = 194
[Task B] yield at tick = 195
[Task A] yield at tick = 195
[Task B] yield at tick = 195
[Task A] yield at tick = 196
[Task B] yield at tick = 196
[Task A] yield at tick = 197
[Task B] yield at tick = 197
[Task A] yield at tick = 198
[Task B] yield at tick = 198
[Task A] yield at tick = 199
[Task B] yield at tick = 199
[Task A] yield at tick = 200
[Task B] yield at tick = 200
[Task A] yield at tick = 201
[Task B] yield at tick = 201
[Task A] yield at tick = 202
[Task B] yield at tick = 202
[Task A] yield at tick = 203
[Task B] yield at tick = 203
[Task A] yield at tick = 203
[Task B] yield at tick = 204
[Task A] yield at tick = 204
[Task B] yield at tick = 205
[Task A] yield at tick = 205
[Task B] yield at tick = 206
[Task A] yield at tick = 206
[Task B] yield at tick = 207
[Task A] yield at tick = 207
[Task B] yield at tick = 208
[Task A] yield at tick = 208
[Task B] yield at tick = 209
[Task A] yield at tick = 209
[Task B] yield at tick = 210
[Task A] yield at tick = 210
[Task B] yield at tick = 211
[Task A] yield at tick = 211
[Task B] yield at tick = 212
[Task A] yield at tick = 212
[Task B] yield at tick = 212
[Task A] yield at tick = 213
[Task B] yield at tick = 213
[Task A] yield at tick = 214
[Task B] yield at tick = 214
[Task A] yield at tick = 215
[Task B] yield at tick = 215
[Task A] yield at tick = 216
[Task B] yield at tick = 216
[Task A] yield at tick = 217
[Task B] yield at tick = 218
[Task A] yield at tick = 219
[Task B] yield at tick = 220
[Task A] yield at tick = 220
[Task B] yield at tick = 221
[Task A] yield at tick = 221
[Task B] yield at tick = 222
[Task A] yield at tick = 222
[Task B] yield at tick = 223
[Task A] yield at tick = 223
[Task B] yield at tick = 224
[Task A] yield at tick = 224
[Task B] yield at tick = 225
[Task A] yield at tick = 225
[Task B] yield at tick = 225
[Task A] yield at tick = 226
[Task B] yield at tick = 226
[Task A] yield at tick = 227
[Task B] yield at tick = 227
[Task A] yield at tick = 228
[Task B] yield at tick = 228
[Task A] yield at tick = 229
[Task B] yield at tick = 229
[Task A] yield at tick = 230
[Task B] yield at tick = 230
[Task A] yield at tick = 231
